Algorithm,Data Type,Data Size,Time (s),Comparisons,Copy Ops,Memory (bytes)
Recursive Merge Sort,random,1000,0.042359,8717,19952,25480
Iterative Merge Sort,random,1000,0.076031,10000,11000,16396
Optimized Merge Sort,random,1000,0.05105,12404,14508,32284
Linked List Merge Sort,random,1000,0.020184,12759,8714,100672
Recursive Merge Sort,sorted,1000,0.038858,4932,19952,24360
Iterative Merge Sort,sorted,1000,0.064579,10000,11000,16420
Optimized Merge Sort,sorted,1000,0.003173,31,1968,16284
Linked List Merge Sort,sorted,1000,0.014978,9089,5044,97480
Recursive Merge Sort,reverse,1000,0.036331,5044,19952,24360
Iterative Merge Sort,reverse,1000,0.06495,10000,11000,16420
Optimized Merge Sort,reverse,1000,0.079923,17844,24932,32284
Linked List Merge Sort,reverse,1000,0.014415,8977,4932,97480
Recursive Merge Sort,nearly_sorted,1000,0.038849,6645,19952,24360
Iterative Merge Sort,nearly_sorted,1000,0.065137,10000,11000,16420
Optimized Merge Sort,nearly_sorted,1000,0.023703,3859,6508,32284
Linked List Merge Sort,nearly_sorted,1000,0.019317,10795,6750,97480
Recursive Merge Sort,few_unique,1000,0.040415,8115,19952,24360
Iterative Merge Sort,few_unique,1000,0.070873,10000,11000,16420
Optimized Merge Sort,few_unique,1000,0.050248,11004,13998,32284
Linked List Merge Sort,few_unique,1000,0.019771,12192,8147,97480
Recursive Merge Sort,random,5000,0.337786,55116,123616,120712
Iterative Merge Sort,random,5000,0.46009,65000,70000,80452
Optimized Merge Sort,random,5000,0.398215,76871,91018,160284
Linked List Merge Sort,random,5000,0.155427,82188,55183,482504
Recursive Merge Sort,sorted,5000,0.318677,29804,123616,120488
Iterative Merge Sort,sorted,5000,0.453104,65000,70000,80452
Optimized Merge Sort,sorted,5000,0.031838,156,13491,94684
Linked List Merge Sort,sorted,5000,0.086517,59009,32004,482504
Recursive Merge Sort,reverse,5000,0.315244,32004,123616,120488
Iterative Merge Sort,reverse,5000,0.461079,65000,70000,80452
Optimized Merge Sort,reverse,5000,0.557627,94716,149935,160284
Linked List Merge Sort,reverse,5000,0.086684,56809,29804,482504
Recursive Merge Sort,nearly_sorted,5000,0.324916,38662,123616,120488
Iterative Merge Sort,nearly_sorted,5000,0.456883,65000,70000,80452
Optimized Merge Sort,nearly_sorted,5000,0.204169,24204,43793,160284
Linked List Merge Sort,nearly_sorted,5000,0.101273,67864,40859,482504
Recursive Merge Sort,few_unique,5000,0.333599,51402,123616,120488
Iterative Merge Sort,few_unique,5000,0.472823,65000,70000,80452
Optimized Merge Sort,few_unique,5000,0.372836,66081,86256,160284
Linked List Merge Sort,few_unique,5000,0.122973,78825,51820,482504
Recursive Merge Sort,random,10000,0.877384,120450,267232,240520
Iterative Merge Sort,random,10000,1.336521,140000,150000,160452
Optimized Merge Sort,random,10000,1.029386,163462,191693,320284
Linked List Merge Sort,random,10000,0.29321,179547,120538,965800
Recursive Merge Sort,sorted,10000,0.743173,64608,267232,240520
Iterative Merge Sort,sorted,10000,0.987089,140000,150000,160452
Optimized Merge Sort,sorted,10000,0.085934,312,27015,189180
Linked List Merge Sort,sorted,10000,0.240673,128017,69008,966040
Recursive Merge Sort,reverse,10000,0.714942,69008,267232,241976
Iterative Merge Sort,reverse,10000,0.986202,140000,150000,160452
Optimized Merge Sort,reverse,10000,1.193505,194488,314943,320284
Linked List Merge Sort,reverse,10000,0.187386,123617,64608,965800
Recursive Merge Sort,nearly_sorted,10000,0.755863,78701,267232,240520
Iterative Merge Sort,nearly_sorted,10000,0.979869,140000,150000,160452
Optimized Merge Sort,nearly_sorted,10000,0.390079,41215,84099,320284
Linked List Merge Sort,nearly_sorted,10000,0.212211,142106,83097,965800
Recursive Merge Sort,few_unique,10000,0.791149,111387,267232,240520
Iterative Merge Sort,few_unique,10000,0.998839,140000,150000,160452
Optimized Merge Sort,few_unique,10000,0.846005,140618,183389,320284
Linked List Merge Sort,few_unique,10000,0.262022,171341,112332,965800
Recursive Merge Sort,random,20000,1.797793,260830,574464,480608
Iterative Merge Sort,random,20000,2.57332,300000,320000,320452
Optimized Merge Sort,random,20000,2.071099,344298,400795,640284
Linked List Merge Sort,random,20000,0.602414,388889,260872,1933640
Recursive Merge Sort,sorted,20000,1.691992,139216,574464,480552
Iterative Merge Sort,sorted,20000,2.137004,300000,320000,320452
Optimized Merge Sort,sorted,20000,0.14796,624,54095,378108
Linked List Merge Sort,sorted,20000,0.649793,276033,148016,1933640
Recursive Merge Sort,reverse,20000,1.640956,148016,574464,480552
Iterative Merge Sort,reverse,20000,2.138358,300000,320000,320452
Optimized Merge Sort,reverse,20000,2.576237,399216,660159,640284
Linked List Merge Sort,reverse,20000,0.415725,267233,139216,1933640
Recursive Merge Sort,nearly_sorted,20000,2.23336,165721,574464,480552
Iterative Merge Sort,nearly_sorted,20000,2.317378,300000,320000,320452
Optimized Merge Sort,nearly_sorted,20000,0.777894,80675,169092,640284
Linked List Merge Sort,nearly_sorted,20000,0.512101,302530,174513,1933880
Recursive Merge Sort,few_unique,20000,1.804209,241079,574464,482120
Iterative Merge Sort,few_unique,20000,2.125023,300000,320000,320452
Optimized Merge Sort,few_unique,20000,1.807965,298842,388343,640284
Linked List Merge Sort,few_unique,20000,0.572154,371006,242989,1933640
Recursive Merge Sort,random,50000,5.560461,718285,1568928,1200704
Iterative Merge Sort,random,50000,5.966663,800000,850000,800452
Optimized Merge Sort,random,50000,5.057748,930613,1042306,1600284
Linked List Merge Sort,random,50000,1.692982,1070035,718082,4845000
Recursive Merge Sort,sorted,50000,5.583739,382512,1568928,1200592
Iterative Merge Sort,sorted,50000,5.688929,800000,850000,800452
Optimized Merge Sort,sorted,50000,0.218203,1562,105413,813820
Linked List Merge Sort,sorted,50000,1.163437,753905,401952,4845240
Recursive Merge Sort,reverse,50000,4.748397,401952,1568928,1202272
Iterative Merge Sort,reverse,50000,6.408199,800000,850000,800452
Optimized Merge Sort,reverse,50000,6.797598,1032392,1715789,1600284
Linked List Merge Sort,reverse,50000,1.203757,734465,382512,4845240
Recursive Merge Sort,nearly_sorted,50000,5.638893,458301,1568928,1202272
Iterative Merge Sort,nearly_sorted,50000,5.650403,800000,850000,800452
Optimized Merge Sort,nearly_sorted,50000,1.781548,200611,373032,1600284
Linked List Merge Sort,nearly_sorted,50000,1.232219,829673,477720,4845000
Recursive Merge Sort,few_unique,50000,5.514454,662460,1568928,1200592
Iterative Merge Sort,few_unique,50000,5.860832,800000,850000,800452
Optimized Merge Sort,few_unique,50000,5.089443,806933,1013696,1600284
Linked List Merge Sort,few_unique,50000,1.683891,1018369,666416,4845240
Recursive Merge Sort,random,100000,12.006902,1536374,3337856,2402472
Iterative Merge Sort,random,100000,12.870602,1700000,1800000,1600452
Optimized Merge Sort,random,100000,12.439934,1961906,2185285,3200284
Linked List Merge Sort,random,100000,3.829062,2290230,1536325,9601848
Recursive Merge Sort,sorted,100000,11.680479,815024,3337856,2402416
Iterative Merge Sort,sorted,100000,12.629385,1700000,1800000,1600452
Optimized Merge Sort,sorted,100000,0.604258,3124,210891,1627388
Linked List Merge Sort,sorted,100000,2.922889,1607809,853904,9601848
Recursive Merge Sort,reverse,100000,10.495428,853904,3337856,2402416
Iterative Merge Sort,reverse,100000,12.836571,1700000,1800000,1600452
Optimized Merge Sort,reverse,100000,15.376148,2115024,3581851,3200284
Linked List Merge Sort,reverse,100000,2.460781,1568929,815024,9601848
Recursive Merge Sort,nearly_sorted,100000,11.741568,972568,3337856,2402416
Iterative Merge Sort,nearly_sorted,100000,13.076987,1700000,1800000,1600452
Optimized Merge Sort,nearly_sorted,100000,4.21505,422645,730123,3200284
Linked List Merge Sort,nearly_sorted,100000,3.376783,1765352,1011447,9601848
Recursive Merge Sort,few_unique,100000,12.450794,1414535,3337856,2402416
Iterative Merge Sort,few_unique,100000,12.83557,1700000,1800000,1600452
Optimized Merge Sort,few_unique,100000,10.926969,1697769,2132324,3200284
Linked List Merge Sort,few_unique,100000,3.802443,2175983,1422078,9601848
